,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,3,평면1,평면도,0.003,0.100,-,-,-,|+,NG
1,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,3,평면1,SMmf,4P,0.001,0.001,-0.001,0.003,-,NG
2,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,5,원1(I) <상>,D,16.489,16.485,0.030,0.000,0.004,----|,NG
3,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,5,원1(I) <상>,SMmf,4P,0.001,0.001,-0.001,0.002,-,NG
4,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,6,원2(I) <중>,D,16.490,16.485,0.030,0.000,0.005,---|,NG
5,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,6,원2(I) <중>,SMmf,4P,0.001,0.002,-0.001,0.003,-,NG
6,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,7,원3(I) <하>,D,16.493,16.485,0.030,0.000,0.008,--|,NG
7,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,7,원3(I) <하>,SMmf,4P,0.000,0.000,0.000,0.000,-,NG
8,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",D,16.490,16.485,0.030,0.000,0.005,---|,NG
9,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",원통도,0.013,0.000,-,-,-,-,NG
10,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",직각도,0.009,0.050,-,-,-,|+,NG
11,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",SMmf,12P,0.003,0.005,-0.008,0.013,-,NG
12,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,14,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,X,116.755,116.600,0.100,0.000,0.155,0.055,NG
13,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,14,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,Y,-10.914,10.900,0.100,-0.100,0.014,|+,NG
14,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,16,각도1 <- 각도[XYPLAN]:직선2와 직선3,Ang,57.266,57.000,0.333,-0.333,0.266,|++++,NG
15,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,17,직선4 <27° 소재>,Y/X,27.185,27.000,0.500,-0.500,0.185,|++,NG
16,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,18,직선5 <7.5° 소재>,Y/X,7.465,7.500,0.500,-0.500,-0.035,-|,NG
17,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,19,점3 <- 직선4와 직선5의 교차점 <소재>,X,110.118,110.200,0.300,-0.300,-0.082,--|,NG
18,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,20,직선6 <35.9° 소재>,Y/X,35.719,35.900,0.500,-0.500,-0.181,--|,NG
19,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,21,점4 <- 직선6와 직선5의 교차점 <소재>,X,88.054,88.000,0.300,-0.300,0.054,|+,NG
20,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,21,점4 <- 직선6와 직선5의 교차점 <소재>,Y,-24.290,-24.000,0.300,-0.300,0.290,|++++,NG
21,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,22,직선7 <23.1°>,Y/X,-23.258,-23.100,0.500,-0.500,0.158,|++,NG
22,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,23,직선8 <6°>,Y/X,-6.195,-6.000,0.500,-0.500,0.195,|++,NG
23,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,24,점5 <- 직선8와 직선7의 교차점,X,48.024,48.000,0.300,-0.300,0.024,|+,NG
24,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,24,점5 <- 직선8와 직선7의 교차점,Y,-16.270,-16.100,0.300,-0.300,0.170,|+++,NG
25,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,25,원4(E) <소재>,X,0.094,0.000,0.200,-0.200,0.094,|++,NG
26,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,25,원4(E) <소재>,Y,0.106,0.000,0.200,-0.200,0.106,|+++,NG
27,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,25,원4(E) <소재>,D,25.688,26.100,0.000,-0.500,-0.412,---|,NG
28,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,25,원4(E) <소재>,동심도,0.283,0.000,-,-,-,-,NG
29,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,25,원4(E) <소재>,SMmf,5P,0.006,0.007,-0.010,0.017,-,NG
30,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,29,점6 <- 직선9와 직선10의 교차점 <소재>,X,44.210,44.100,0.300,-0.300,0.110,|++,NG
31,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,29,점6 <- 직선9와 직선10의 교차점 <소재>,Y,6.596,6.500,0.300,-0.300,0.096,|++,NG
32,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,30,점7 <- 직선10와 직선11의 교차점 <소재>,X,54.195,54.000,0.300,-0.300,0.195,|+++,NG
33,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,30,점7 <- 직선10와 직선11의 교차점 <소재>,Y,5.197,5.100,0.300,-0.300,0.097,|++,NG
34,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,33,점8 <- 직선13와 직선12의 교차점 <소재>,X,74.504,74.400,0.300,-0.300,0.104,|++,NG
35,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,34,직선14 <23.1° 소재>,Y/X,-23.265,-23.100,0.333,-0.333,0.165,|++,NG
36,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,37,직선16 <우상 소재>,X/Y,14.166,14.500,0.500,-0.500,-0.334,---|,NG
37,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.01.18. 14:13:48,양정훈,일상검사,주간,종물,39,직선18 <좌상 소재>,X/Y,-14.388,-14.500,0.500,-0.500,-0.112,-|,NG
