,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,11,원2(I) <상>,D,16.490,16.490,0.030,0.000,0.000,----|,NTC
1,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,11,원2(I) <상>,SMmf,5P,0.002,0.002,-0.002,0.004,-,NTC
2,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,12,원3(I) <중>,D,16.487,16.490,0.030,0.000,-0.003,-0.003,NTC
3,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,12,원3(I) <중>,SMmf,5P,0.001,0.002,-0.002,0.004,-,NTC
4,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,13,원4(I) <하>,D,16.485,16.490,0.030,0.000,-0.005,-0.005,NTC
5,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,13,원4(I) <하>,SMmf,5P,0.002,0.002,-0.002,0.004,-,NTC
6,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,14,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",D,16.487,16.490,0.030,0.000,-0.003,-0.003,NTC
7,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,14,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",원통도,0.007,0.000,-,-,-,-,NTC
8,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,14,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",직각도,0.025,0.050,-,-,-,|+++,NTC
9,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,14,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",SMmf,15P,0.002,0.004,-0.003,0.007,-,NTC
10,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,17,직선4,Y/X,57.109,57.000,0.333,-0.333,0.109,|++,NTC
11,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,17,직선4,SMmf,2P,0.000,0.000,0.000,0.000,-,NTC
12,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,18,점2 <- 직선3와 직선4의 교차점 <열전관리치>,X,121.405,121.300,0.100,0.000,0.105,0.005,NTC
13,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,18,점2 <- 직선3와 직선4의 교차점 <열전관리치>,Y,-15.003,-15.000,0.100,-0.100,-0.003,-|,NTC
14,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,19,직선5,Y/X,10.464,10.500,0.500,-0.500,-0.036,-|,NTC
15,PARKING SPRAG,45926-4G400,2024.03.05. 10:19:01,양정훈,일상검사,주간,초물,19,직선5,SMmf,3P,0.005,0.004,-0.007,0.011,-,NTC
